model,horizon_min,MAE,RMSE
SeqOnly,15,9.33,13.66
SeqOnly,30,15.28,21.83
SeqOnly,45,19.75,29.40
SeqOnly,60,24.11,35.68
SeqOnly,75,28.67,41.88
SeqOnly,90,31.67,46.41
RP,15,7.54,12.18
RP,30,13.97,21.32
RP,45,18.92,28.41
RP,60,23.46,35.06
RP,75,27.19,40.14
RP,90,30.43,44.36
GAF,15,7.68,12.40
GAF,30,13.63,21.03
GAF,45,19.09,28.86
GAF,60,23.52,35.10
GAF,75,27.18,40.10
GAF,90,30.36,44.57
MTF,15,7.47,12.19
MTF,30,13.64,21.05
MTF,45,19.09,28.85
MTF,60,23.56,34.61
MTF,75,27.16,40.01
MTF,90,30.33,44.57
GlucoImg,15,7.24,11.80
GlucoImg,30,13.60,20.96
GlucoImg,45,18.76,28.43
GlucoImg,60,23.27,34.65
GlucoImg,75,26.94,39.65
GlucoImg,90,30.15,44.22
