model,horizon_min,MAE_improvement,RMSE_improvement
RP,15,19.185423365487676,10.834553440702784
RP,30,8.573298429319363,2.336234539624361
RP,45,4.202531645569612,3.367346938775505
RP,60,2.6959767731231796,1.7376681614349705
RP,75,5.162190442971749,4.15472779369628
RP,90,3.915377328702248,4.4171514759749995
GAF,15,17.68488745980708,9.224011713030746
GAF,30,10.798429319371719,3.6646816307833134
GAF,45,3.341772151898735,1.8367346938775482
GAF,60,2.4471173786810447,1.6255605381165872
GAF,75,5.197070108126969,4.25023877745941
GAF,90,4.136406694032214,3.964662788192192
MTF,15,19.93569131832798,10.761346998535876
MTF,30,10.73298429319371,3.5730645900137317
MTF,45,3.341772151898735,1.8707482993197182
MTF,60,2.2812111157196213,2.9988789237668168
MTF,75,5.266829438437396,4.465138490926467
MTF,90,4.231133564887917,3.964662788192192
GlucoImg,15,22.40085744908896,13.616398243045383
GlucoImg,30,10.994764397905758,3.9853412734768554
GlucoImg,45,5.012658227848093,3.299319727891153
GlucoImg,60,3.4840315221899623,2.8867713004484337
GlucoImg,75,6.034182071852111,5.32473734479466
GlucoImg,90,4.799494790022112,4.718810601163538
