section,model,metric,15m,30m,45m,60m,75m,90m,avg
baseline,SeqOnly,MAE,9.33,15.28,19.75,24.11,28.67,31.67,21.47
baseline,SeqOnly,RMSE,13.66,21.83,29.40,35.68,41.88,46.41,31.48
image_representation,GlucoImg-RawCurve,MAE,10.89,24.66,30.67,33.44,35.19,37.48,28.72
image_representation,GlucoImg-RawCurve,RMSE,17.45,41.36,49.95,52.25,52.83,56.36,45.03
image_representation,GlucoImg-SPEC,MAE,7.24,13.60,18.76,23.27,26.94,30.15,19.99
image_representation,GlucoImg-SPEC,RMSE,11.80,20.96,28.43,34.65,39.65,44.22,29.95
image_representation,GlucoImg-RP,MAE,7.54,13.97,18.92,23.46,27.19,30.43,20.25
image_representation,GlucoImg-RP,RMSE,12.18,21.32,28.41,35.06,40.14,44.36,30.25
image_representation,GlucoImg-GAF,MAE,7.68,13.63,19.09,23.52,27.18,30.36,20.24
image_representation,GlucoImg-GAF,RMSE,12.40,21.03,28.86,35.10,40.10,44.57,30.34
image_representation,GlucoImg-MTF,MAE,7.47,13.64,19.09,23.56,27.16,30.33,20.21
image_representation,GlucoImg-MTF,RMSE,12.19,21.05,28.85,34.61,40.01,44.57,30.21
multi_representation_fusion,GlucoImg-Multi (Equal),MAE,7.64,13.82,19.62,23.27,27.32,30.65,20.39
multi_representation_fusion,GlucoImg-Multi (Equal),RMSE,12.25,21.20,29.32,34.75,40.41,44.98,30.48
multi_representation_fusion,GlucoImg-Multi (Attn),MAE,7.35,14.11,19.12,24.08,27.14,31.26,20.51
multi_representation_fusion,GlucoImg-Multi (Attn),RMSE,11.85,21.57,28.71,35.66,40.16,45.48,30.57
multi_representation_fusion,GlucoImg-Multi (Concat),MAE,7.89,14.11,19.29,23.38,27.15,30.33,20.36
multi_representation_fusion,GlucoImg-Multi (Concat),RMSE,12.62,21.29,29.00,34.89,40.19,44.56,30.42
backbone,GlucoImg-GRU,MAE,7.54,14.05,19.43,23.84,27.85,31.43,20.69
backbone,GlucoImg-GRU,RMSE,12.07,21.44,29.23,35.44,41.05,45.39,30.77
backbone,GlucoImg-PatchTST,MAE,8.34,14.36,19.77,23.84,27.66,30.96,20.82
backbone,GlucoImg-PatchTST,RMSE,13.40,22.00,29.78,35.74,41.07,45.38,31.23
