model,image_type,metric,15min,30min,45min,60min,75min,90min,Avg
MambaFormer-96,none,MAE,9.33,15.28,19.75,24.11,28.67,31.67,21.468333333333334
MambaFormer-96,none,RMSE,13.66,21.83,29.4,35.68,41.88,46.41,31.476666666666663
+ Spectrogram,spectrogram,MAE,7.24,13.598628010868293,18.756,23.272,26.93454659631283,30.147588276275837,19.991460480576162
+ Spectrogram,spectrogram,RMSE,11.795,20.95812347963193,28.434,34.65,39.65219303072226,44.21451291965517,29.950638238334893
+ RP,rp,MAE,7.537919374499999,13.973879099693674,19.162494841179036,23.455901358660793,27.192255056548625,30.426019857706848,20.29141159804816
+ RP,rp,RMSE,12.181114726703164,21.320958450538534,28.727460061090948,35.059658754945644,40.14355280053344,44.35872494054716,30.298578289059815
+ GAF,gaf,MAE,7.558761988660318,13.832618605701041,19.090498147030274,23.522473837404828,27.17511225067168,30.357988729455872,20.25624225982067
+ GAF,gaf,RMSE,12.201741931523959,21.164895364638078,28.861934314968092,35.09980408651323,40.10162235471584,44.56532151435431,30.332553261118917
+ MTF,mtf,MAE,7.565688312727757,13.838393291800756,19.08939271045084,23.563863031412545,27.16280917375451,30.331690719050364,20.258639539866127
+ MTF,mtf,RMSE,12.18857575216193,21.05212817770193,28.847913741540978,34.757590025946335,40.01211680984838,44.56613879563232,30.237410550471978
